nsites,nelements,volume,density,density_atomic
4,3,78.08407214,4.271199237,19.52101803
36,5,465.2652233,3.394986444,12.92403398
68,4,610.8290172,1.284294636,8.982779665
40,4,370.6519063,4.257004116,9.266297657
4,3,128.1937297,5.438492585,32.04843241
16,3,204.3072202,6.55903934,12.76920126
66,4,874.2094391,3.931263848,13.24559756
40,5,496.8692349,2.458907151,12.42173087
40,4,431.094871,4.057053635,10.77737178
8,3,89.00385841,8.259199427,11.1254823
10,3,180.0926957,7.632123112,18.00926957
96,3,1488.154867,6.684528426,15.5016132
48,4,1344.878681,4.454546547,28.01830585
46,5,607.1024691,1.734606879,13.19787976
24,3,352.2657066,5.828142117,14.67773778
12,4,237.743366,10.06666777,19.81194717
23,3,852.6867365,6.906280423,37.07333637
68,3,1104.472892,1.928841719,16.24224842
13,3,572.6685257,0.542169851,44.05142505
17,3,261.3721234,8.267414853,15.37483079
4,3,90.62139617,5.713455236,22.65534904
16,3,240.2925855,7.4397536,15.01828659
10,4,332.464038,2.95172514,33.2464038
7,3,108.1343227,10.39226786,15.44776038
28,3,492.747658,6.940863097,17.59813064
9,3,197.0633197,12.09137342,21.89592441
93,5,1447.639969,2.273029819,15.56602117
10,3,170.0160819,6.57555788,17.00160819
36,3,788.5640464,2.529458266,21.90455684
13,3,183.2523335,5.975682798,14.09633334
4,3,111.4715287,7.940501181,27.86788217
30,4,807.0513286,2.579431829,26.90171095
60,5,833.4747691,4.404535105,13.89124615
4,3,88.45579685,5.046356323,22.11394921
18,3,268.8714384,8.278719073,14.93730213
8,2,257.9411605,9.646198895,32.24264506
76,4,1050.565217,5.151671625,13.82322653
20,3,270.0901491,7.684252337,13.50450746
16,3,176.655901,13.36882463,11.04099382
24,4,218.0417669,3.954563941,9.085073621
36,3,612.8249319,7.856745308,17.02291478
72,3,1020.432111,2.602437825,14.17266821
4,3,70.02710199,10.23589344,17.5067755
4,3,82.70219174,9.074833393,20.67554793
64,4,804.7728905,2.877460369,12.57457641
22,3,268.3790963,7.77910291,12.19904983
10,4,286.5978894,2.374834819,28.65978894
30,4,413.8203984,6.205127004,13.79401328
92,4,1632.132002,3.295966776,17.74056524
4,3,85.7461418,6.466235834,21.43653545
8,3,163.9234295,3.357891864,20.49042869
4,3,97.13369791,5.316873415,24.28342448
20,3,184.2335711,3.798103534,9.211678553
43,6,403.0017175,2.046839306,9.372132965
20,3,504.9270122,4.045493453,25.24635061
10,4,409.5375885,4.022536121,40.95375885
12,4,346.1924347,4.83087368,28.84936956
4,3,109.3043913,10.97918313,27.32609781
6,3,65.65422019,5.428367948,10.94237003
2,2,53.63691084,3.156251396,26.81845542
10,3,144.4092639,3.405717548,14.44092639
10,3,108.784654,6.529684686,10.8784654
24,3,332.1341919,8.987128671,13.83892466
8,3,201.1206703,9.75656862,25.14008378
28,3,287.1584999,4.583997437,10.25566071
24,4,298.9948414,5.371446722,12.45811839
40,4,395.0787803,7.455762199,9.876969509
10,4,290.3114626,3.578203603,29.03114626
9,3,240.481309,10.20536151,26.72014544
60,3,812.617586,3.140646931,13.54362643
6,3,103.0155669,10.23400295,17.16926115
22,3,297.9164279,9.597194809,13.54165581
4,3,83.24636122,9.346613542,20.8115903
46,4,668.3965415,7.289056529,14.5303596
24,4,298.0787478,1.765621809,12.41994783
28,3,338.7597122,9.345423082,12.09856115
44,4,724.8373755,2.045207983,16.47357672
4,3,76.52399441,14.43193956,19.1309986
14,4,248.9924566,3.986570908,17.78517547
20,4,180.400219,3.915584381,9.020010951
48,4,764.6242587,4.356117957,15.92967206
20,3,189.5924595,5.81383751,9.479622974
108,4,1934.252591,2.092958578,17.90974621
80,5,930.154225,2.925051646,11.62692781
32,3,1128.282385,3.627051318,35.25882452
36,3,737.1109426,5.091797583,20.47530396
26,3,383.6643108,6.760346214,14.75631965
8,2,161.5004643,11.56619279,20.18755804
8,3,249.4752293,7.738109998,31.18440366
18,3,235.8496968,4.618035135,13.10276093
52,5,682.5504807,3.343501014,13.12597078
28,4,287.3583694,4.044402828,10.26279891
14,3,138.8297639,5.389975805,9.916411705
28,4,253.1801178,4.100046461,9.042147065
52,4,752.1036795,5.381115557,14.4635323
20,3,276.9313103,4.470895679,13.84656551
24,3,353.6218968,1.672293511,14.7342457
6,2,102.8853719,5.007277455,17.14756198
